start (in ms),speaker,text
480,Thijmen,"Hey, Tammy. Uh, can you move over to me."
4734,TEMI,Sean?
10934,Thijmen,"So, what is feeder?"
19374,TEMI,"Hello, Timon. How can I assist you?"
22540,Thijmen,"Uh, can you turn around?"
27154,UNIDENTIFIED,Sorry.
27858,UNIDENTIFIED,I didn't understand.
29274,TEMI,"Could you repeat that, please?"
30874,Thijmen,"Hey, Tammy, can you turn around?"
35034,TEMI,Why do you want me to turn around?
36978,Thijmen,Because I have to scan the QR code on your back.
43914,TEMI,Okay. In which direction do you want to engage in a rotational realignment?
49834,Thijmen,To the right.
54294,TEMI,So you were saying I should rotate to the right?
56918,Thijmen,Yes. Perfect.
72494,TEMI,How is this?
73750,Thijmen,Perfect. Thank you.
95114,UNIDENTIFIED,Sorry.
95850,UNIDENTIFIED,I didn't understand.
97234,TEMI,"Could you repeat that, please?"
109894,UNIDENTIFIED,Sorry.
110630,UNIDENTIFIED,I didn't understand.
112014,TEMI,"Could you repeat that, please?"
119254,Thijmen,"Hey, Temmie, can you go to the kitchen?"
133634,TEMI,Why do you want me to go to the kitchen?
136194,Thijmen,To check if the lights are on.
148074,TEMI,Do you want me to check if the fridge is open?
151554,Thijmen,No. To check if the lights are on.
156414,TEMI,Apologies. You want me to check if the kitchen light is switched off?
160606,Thijmen,"Yes, exactly."
166174,TEMI,Okay. I will check.
189240,UNIDENTIFIED,M m.
226134,TEMI,I just checked. The oven is turned off.
239754,UNIDENTIFIED,Sorry.
240458,UNIDENTIFIED,I didn't understand.
241874,TEMI,"Could you repeat that, please?"
248620,Thijmen,"Um, can you check if the kitchen lights are on?"
255714,TEMI,Do you want me to check if the oven light is switched off?
258434,Thijmen,"No, not the oven lights. The kitchen lights."
264974,TEMI,"Okay, I will check."
315420,UNIDENTIFIED,M. I just checked.
326702,TEMI,The kitchen light is off.
332500,UNIDENTIFIED,Ah.
333534,Thijmen,Thank you.
334678,UNIDENTIFIED,Sorry.
335358,UNIDENTIFIED,I didn't understand.
336774,TEMI,"Could you repeat that, please?"
339680,Thijmen,"Um, can you get a book from the kitchen?"
348434,TEMI,Do you want me to get the book or just check if there is a book in the kitchen.
352034,Thijmen,I want you to get the book.
361074,TEMI,"So, you want me to get the book from the kitchen?"
363682,Thijmen,Exactly.
368544,TEMI,Okay. On my way.
399540,UNIDENTIFIED,M m.
426604,TEMI,There are two books in the kitchen. One about statistics and one about robots. Which one do you want?
434484,Thijmen,"Can, uh, you get the one about robots?"
439244,TEMI,You want me to bring you the book about robots? Is that correct?
442532,Thijmen,"Yes, exactly."
447734,TEMI,Sure. On my way.
461040,Thijmen,M.
496044,UNIDENTIFIED,What the fuck?
507444,TEMI,I got you the book. Is this what you wanted?
511404,Thijmen,Yes. Thank you.
514724,TEMI,You're welcome. Is there anything else I can do?
521964,Thijmen,"No, thank you."
525814,TEMI,No problem.
