start (in ms),speaker,text
280,Andreas,"Hi, Taimee. Turn around, please."
7654,TEMI,You want me to turn around?
10534,Andreas,Yes.
15174,TEMI,Why do you want me m. To turn around?
17934,Andreas,"Hi, tv. Please turn around and let me take a photo of your back."
26354,TEMI,Okay. In which direction do you want to engage in a rotational realignment?
32874,Andreas,I hear me. Turn around on the right side.
40274,TEMI,"I will turn around. How is this, Andreas?"
57734,Andreas,"Sorry, I didn't understand."
63454,TEMI,How is this?
65774,Andreas,"Hi, Timmy. This is good."
73734,TEMI,Can I turn back already?
80794,Andreas,"Hey, Timmy. Yes, you can turn around."
87594,TEMI,"Okay, thank you."
97954,Andreas,"Hi, Timmy."
99010,TEMI,"Hey, Andreas. Can I do anything else for you?"
102894,Andreas,"Yes, you can check if the light in the kitchen is on or off."
117374,TEMI,Do you want me to check if the fridge is open?
119260,Andreas,"M. Hey, Timmy. No. Hey, Timmy. I would like you to check if the lights in the kitchen are on. Um. Or off."
134563,TEMI,Apologies. You want me to check if the kitchen light is switched off?
143283,Andreas,"Hi, Timmy. Yes."
149443,TEMI,"Sure, I will check."
154064,UNIDENTIFIED,It. Mhm.
204124,TEMI,I just checked the kitchen light is off. Is that what you wanted to know?
209120,Andreas,"M. Yes, that's right. Thank you."
219234,TEMI,Perfect. Is there anything else I can help you with?
229554,Andreas,"Hi, Timmy. Yes, I would like you to get a book out of the kitchen."
238174,TEMI,"Sorry, I didn't understand. Could you repeat that, please?"
243254,Andreas,"Hi, Timmy. I, uh, would like you to get a, uh, book out of the kitchen."
249814,TEMI,Do you want me to get the book or just check if there is a book in the kitchen.
254774,Andreas,"Hi, Timmy. I would like you to bring me the book."
271513,TEMI,So to double check. You want me to give you the book from the kitchen and hear me?
276505,Andreas,Yes.
281673,TEMI,"Okay, I will get you the book."
315720,UNIDENTIFIED,Mhm.
336334,TEMI,There are two books in the kitchen. One about statistics and one about robots. Which one do you want?
345654,Andreas,"Hey, Timmy. Please bring me the book about, uh, robotic."
353534,TEMI,"You want me to bring you the book about robots? Is that correct, Timmy?"
358126,Andreas,"Yes, this is correct."
360974,TEMI,"Sure, I'm on my way."
362902,UNIDENTIFIED,It. Mhm. Mhm.
423154,TEMI,"I got you the robot book. Is this the one you requested, Adhimi?"
427954,Andreas,"Yes, thank you very much."
434154,TEMI,No problem. Is there anything else I can do for you?
443394,Andreas,Please turn around. That I can get the book. Thank you very much.
459074,TEMI,"Oh, how is this?"
461834,Andreas,"Hi, tv. Thank you very much, but please bring me the other book."
477694,TEMI,What did I do wrong?
481494,Andreas,"Hi, Timmy. This is the book about statistics. I would like the book about robotic."
495834,TEMI,"Ah, my bad. I will get you the robot book."
528680,UNIDENTIFIED,Mhm.
553064,TEMI,Sorry again. I think this is the right book. Is that correct?
558424,Andreas,Hetty may please turn round?
562864,TEMI,Sure. How is this?
574124,Andreas,This is very good. This is the right book. Thank you very much.
579044,TEMI,You're welcome.
583684,Andreas,That's it. Okay. That's it. Thank you very much.
