start (in ms),speaker,text
5040,Kathrin,"Hey, Tony, can you come here? Sure."
22214,TEMI,"Hello, Catherine."
23582,UNIDENTIFIED,How can I assist you?
25214,Kathrin,Can you turn around for me?
30184,UNIDENTIFIED,Why do you want me to turn around?
32664,Kathrin,I need to see your back and scan the code.
38144,UNIDENTIFIED,You want me to turn around?
39808,UNIDENTIFIED,"Yes, please."
44104,TEMI,Okay.
44936,UNIDENTIFIED,In which direction do you want to engage in a rotational realignment?
49784,Kathrin,Right.
54644,TEMI,Okay.
69124,Kathrin,Perfect.
70036,UNIDENTIFIED,How is this?
71284,Kathrin,Perfect. Thank you.
75244,UNIDENTIFIED,You're welcome.
87704,UNIDENTIFIED,Is there anything else I can do?
90540,Kathrin,"Uh, give me just a second."
113564,UNIDENTIFIED,"You can go to the next task. Do what? You can go to the next task. Okay, if you have questions."
119228,Kathrin,What is it? Just turning on the light.
122236,UNIDENTIFIED,"Uh, checking. Okay. Checking the light in the kitchen. Okay."
126884,Kathrin,"Hey, Timmy, can you check the light for me in the kitchen?"
134504,UNIDENTIFIED,Do you want me to check if the oven light is switched off?
138424,Kathrin,"No, I do not."
144664,UNIDENTIFIED,"Sorry, I didn't understand."
146784,UNIDENTIFIED,"Could you repeat that, please?"
148608,Kathrin,Can you check the light in the kitchen for me?
153304,UNIDENTIFIED,Apologies. You want me to check if the kitchen light is switched off?
157512,UNIDENTIFIED,Yes.
164484,TEMI,Okay.
165044,UNIDENTIFIED,I checked.
210260,UNIDENTIFIED,M.
229804,UNIDENTIFIED,I just checked the kitchen. The light is off.
234174,Kathrin,Thank you.
235320,UNIDENTIFIED,Mhm.
238360,UNIDENTIFIED,No problem.
241014,Kathrin,Can you get a book for me in the kitchen?
247094,UNIDENTIFIED,"Sorry, I didn't understand."
249214,UNIDENTIFIED,"Could you repeat that, please?"
251078,Kathrin,Can you go to the kitchen and get a book?
257894,UNIDENTIFIED,Do you want me to get the book or just check if there is a book in the kitchen?
261630,Kathrin,Get the book.
267934,TEMI,"Okay, on my way."
273740,UNIDENTIFIED,Mhm.
322734,UNIDENTIFIED,There are two books in the kitchen. One about statistics and one about robots. Which one do you want?
330214,UNIDENTIFIED,Pick one.
335934,UNIDENTIFIED,You want me to bring you the book about statistics? Is that correct?
339554,UNIDENTIFIED,"Yes, please."
344754,TEMI,"Okay, on my way."
358020,UNIDENTIFIED,Mhm. Mhm.
409540,TEMI,I got you the book.
410858,UNIDENTIFIED,Is that what you wanted?
412514,UNIDENTIFIED,It was not.
415354,Kathrin,Can you bring me the book about statistics?
419344,UNIDENTIFIED,"Oh, sorry. You want me to bring you the book about statistics? Is that correct?"
427504,UNIDENTIFIED,Yes.
432984,TEMI,On my way.
442160,UNIDENTIFIED,Mhm. Mhm.
488340,TEMI,I got you the book.
489628,UNIDENTIFIED,Is that what you wanted?
491132,UNIDENTIFIED,Yes. Thank you.
495044,UNIDENTIFIED,You're welcome.
497814,UNIDENTIFIED,You can also get it.
499220,UNIDENTIFIED,"Uh, is there anything else I can do?"
501374,Kathrin,Can you bring it here? Bring it to me? Sure. Thank you.
518854,UNIDENTIFIED,How is this?
520006,Kathrin,Great.
522594,UNIDENTIFIED,You're welcome.
531634,Kathrin,What's happening?
536434,UNIDENTIFIED,I'm waiting for him to say something.
544194,UNIDENTIFIED,Is there anything else I can do?
546634,Kathrin,"Uh uh. No, there is not."
570894,UNIDENTIFIED,Me too.
583714,TEMI,I am going home.
585754,UNIDENTIFIED,"Good night, Timmy."
